# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
18,Turn,0,-292,292,CHECK,0,"['5s', '4d']","['Ah', '7s']","['3s', '8d', '4h', '4s']",,,100,100
18,Turn,1,-292,292,CHECK,0,"['5s', '4d']","['Ah', '7s']","['3s', '8d', '4h', '4s']",,,100,100
18,River,0,-292,292,CHECK,0,"['5s', '4d']","['Ah', '7s']","['3s', '8d', '4h', '4s', 'Ad']",,,100,100
18,River,1,-292,292,CHECK,0,"['5s', '4d']","['Ah', '7s']","['3s', '8d', '4h', '4s', 'Ad']",,,100,100
19,Pre-Flop,1,-192,192,CALL,0,"['Ah', '2h']","['5d', '7h']","['3s', '3d']",,,1,1
19,Pre-Flop,0,-192,192,RAISE,98,"['Ah', '2h']","['5d', '7h']","['3s', '3d']",,,2,2
19,Pre-Flop,1,-192,192,DISCARD,0,"['Ah', '2h']","['5d', '7h']","['3s', '3d']",,,2,2
19,Pre-Flop,1,-192,192,CALL,0,"['Ah', '2h']","['6s', '7h']","['3s', '3d']",,5d,2,2
19,Flop,1,-192,192,CHECK,0,"['Ah', '2h']","['6s', '7h']","['3s', '3d', '4d']",,5d,100,100
19,Flop,0,-192,192,CHECK,0,"['Ah', '2h']","['6s', '7h']","['3s', '3d', '4d']",,5d,100,100
19,Turn,1,-192,192,CHECK,0,"['Ah', '2h']","['6s', '7h']","['3s', '3d', '4d', '7s']",,5d,100,100
19,Turn,0,-192,192,CHECK,0,"['Ah', '2h']","['6s', '7h']","['3s', '3d', '4d', '7s']",,5d,100,100
19,River,1,-192,192,CHECK,0,"['Ah', '2h']","['6s', '7h']","['3s', '3d', '4d', '7s', '7d']",,5d,100,100
19,River,0,-192,192,CHECK,0,"['Ah', '2h']","['6s', '7h']","['3s', '3d', '4d', '7s', '7d']",,5d,100,100
20,Pre-Flop,0,-292,292,RAISE,98,"['As', '9d']","['7h', '6s']","['9s', '6d']",,,1,1
20,Pre-Flop,1,-292,292,CALL,0,"['As', '9d']","['7h', '6s']","['9s', '6d']",,,2,2
20,Flop,0,-292,292,CHECK,0,"['As', '9d']","['7h', '6s']","['9s', '6d', 'Ad']",,,100,100
20,Flop,1,-292,292,CHECK,0,"['As', '9d']","['7h', '6s']","['9s', '6d', 'Ad']",,,100,100
20,Turn,0,-292,292,CHECK,0,"['As', '9d']","['7h', '6s']","['9s', '6d', 'Ad', '3d']",,,100,100
20,Turn,1,-292,292,CHECK,0,"['As', '9d']","['7h', '6s']","['9s', '6d', 'Ad', '3d']",,,100,100
20,River,0,-292,292,CHECK,0,"['As', '9d']","['7h', '6s']","['9s', '6d', 'Ad', '3d', 'Ah']",,,100,100
20,River,1,-292,292,CHECK,0,"['As', '9d']","['7h', '6s']","['9s', '6d', 'Ad', '3d', 'Ah']",,,100,100
21,Pre-Flop,1,-192,192,CALL,0,"['8d', '3d']","['2h', '8s']","['7d', '6d']",,,1,1
21,Pre-Flop,0,-192,192,RAISE,98,"['8d', '3d']","['2h', '8s']","['7d', '6d']",,,2,2
21,Pre-Flop,1,-192,192,DISCARD,0,"['8d', '3d']","['2h', '8s']","['7d', '6d']",,,2,2
21,Pre-Flop,1,-192,192,CALL,0,"['8d', '3d']","['9s', '8s']","['7d', '6d']",,2h,2,2
21,Flop,1,-192,192,CHECK,0,"['8d', '3d']","['9s', '8s']","['7d', '6d', '5d']",,2h,100,100
21,Flop,0,-192,192,CHECK,0,"['8d', '3d']","['9s', '8s']","['7d', '6d', '5d']",,2h,100,100
21,Turn,1,-192,192,CHECK,0,"['8d', '3d']","['9s', '8s']","['7d', '6d', '5d', '4s']",,2h,100,100
21,Turn,0,-192,192,CHECK,0,"['8d', '3d']","['9s', '8s']","['7d', '6d', '5d', '4s']",,2h,100,100
21,River,1,-192,192,CHECK,0,"['8d', '3d']","['9s', '8s']","['7d', '6d', '5d', '4s', '9h']",,2h,100,100
21,River,0,-192,192,CHECK,0,"['8d', '3d']","['9s', '8s']","['7d', '6d', '5d', '4s', '9h']",,2h,100,100
22,Pre-Flop,0,-92,92,RAISE,98,"['9h', '6d']","['7h', '4h']","['As', '4d']",,,1,1
22,Pre-Flop,1,-92,92,CALL,0,"['9h', '6d']","['7h', '4h']","['As', '4d']",,,2,2
22,Flop,0,-92,92,CHECK,0,"['9h', '6d']","['7h', '4h']","['As', '4d', '7s']",,,100,100
22,Flop,1,-92,92,CHECK,0,"['9h', '6d']","['7h', '4h']","['As', '4d', '7s']",,,100,100
22,Turn,0,-92,92,CHECK,0,"['9h', '6d']","['7h', '4h']","['As', '4d', '7s', '3h']",,,100,100
22,Turn,1,-92,92,CHECK,0,"['9h', '6d']","['7h', '4h']","['As', '4d', '7s', '3h']",,,100,100
22,River,0,-92,92,CHECK,0,"['9h', '6d']","['7h', '4h']","['As', '4d', '7s', '3h', '8s']",,,100,100
22,River,1,-92,92,CHECK,0,"['9h', '6d']","['7h', '4h']","['As', '4d', '7s', '3h', '8s']",,,100,100
23,Pre-Flop,1,8,-8,CALL,0,"['6d', '4s']","['7d', '5h']","['8h', '5d']",,,1,1
23,Pre-Flop,0,8,-8,RAISE,98,"['6d', '4s']","['7d', '5h']","['8h', '5d']",,,2,2
23,Pre-Flop,1,8,-8,CALL,0,"['6d', '4s']","['7d', '5h']","['8h', '5d']",,,2,2
23,Flop,1,8,-8,CHECK,0,"['6d', '4s']","['7d', '5h']","['8h', '5d', '5s']",,,100,100
23,Flop,0,8,-8,CHECK,0,"['6d', '4s']","['7d', '5h']","['8h', '5d', '5s']",,,100,100
23,Turn,1,8,-8,CHECK,0,"['6d', '4s']","['7d', '5h']","['8h', '5d', '5s', '7s']",,,100,100
23,Turn,0,8,-8,CHECK,0,"['6d', '4s']","['7d', '5h']","['8h', '5d', '5s', '7s']",,,100,100
23,River,1,8,-8,CHECK,0,"['6d', '4s']","['7d', '5h']","['8h', '5d', '5s', '7s', '4h']",,,100,100
23,River,0,8,-8,CHECK,0,"['6d', '4s']","['7d', '5h']","['8h', '5d', '5s', '7s', '4h']",,,100,100
24,Pre-Flop,0,-92,92,RAISE,98,"['6h', '3h']","['3d', '8h']","['2h', '6s']",,,1,1
24,Pre-Flop,1,-92,92,DISCARD,0,"['6h', '3h']","['3d', '8h']","['2h', '6s']",,,2,2
24,Pre-Flop,1,-92,92,CALL,0,"['6h', '3h']","['9h', '8h']","['2h', '6s']",,3d,2,2
24,Flop,0,-92,92,CHECK,0,"['6h', '3h']","['9h', '8h']","['2h', '6s', '9d']",,3d,100,100
24,Flop,1,-92,92,CHECK,0,"['6h', '3h']","['9h', '8h']","['2h', '6s', '9d']",,3d,100,100
